TF,Target,Weight
SCRT2,FBXL17,0.9081912437162386
SCRT2,FBXL8,0.8889584211702272
SCRT2,GPR156,0.9052374051687962
SCRT2,GPR78,0.79418015245149
SCRT2,GRIN2D,0.8956066774320077
SCRT2,LCE5A,0.8767175164341701
SCRT2,LOC201175,0.9206007151977628
SCRT2,LOC389199,0.8736645632932656
SCRT2,LRFN1,0.8162084373400669
SCRT2,MAFA,0.9205706245300687
SCRT2,NEUROG3,0.8989914041755569
SCRT2,NLF1,0.8162291394538994
SCRT2,P2RY4,0.7965173038020921
SCRT2,PARP10,0.8277710054457885
SCRT2,POU3F3,0.8818519136819741
SCRT2,PRR7,0.7505513245584502
SCRT2,SOX3,0.8723530893577579
SCRT2,ZNF467,0.8182007659717895
SCRT2,ZNF579,0.8682566546222906
SCRT2,ZNF784,0.871837384003561
SCRT2,ZNF787,0.8147165551901281
IRF9,IFI6,0.767225498526209
IRF9,IFIT3,0.7005232160330344
IRF9,ISG15,0.7260756101549246
IRF9,OAS1,0.721307872595065
IRF9,OAS3,0.7115718763641852
IRF9,PSME2,0.7170115809344415
ZNF462,ROPN1,0.7003105282461118
TRERF1,HCRP1,0.7646635873687319
ZBED2,ADAMDEC1,0.7027371462545324
ZBED2,AIM2,0.8081831010403893
ZBED2,BIC,0.723804852460698
ZBED2,CCR5,0.716188485300532
ZBED2,CCR7,0.701317907829572
ZBED2,CD274,0.7375620543550443
ZBED2,CD72,0.7246530593166206
ZBED2,CST7,0.746397935533316
ZBED2,CTLA4,0.7804156528469501
ZBED2,CXCL11,0.7917462861394069
ZBED2,CXCL9,0.7513260787458131
ZBED2,CXCR3,0.7806882275976653
ZBED2,CXORF9,0.7198497660223016
ZBED2,EOMES,0.7653994393393083
ZBED2,EPSTI1,0.7154847603802817
ZBED2,GBP5,0.8252510249004131
ZBED2,GPR132,0.700505546719404
ZBED2,ICOS,0.8664423893500552
ZBED2,IFNG,0.8161205578523446
ZBED2,IL21R,0.7910267920476611
ZBED2,IL2RA,0.7749169101345915
ZBED2,INDO,0.819006297542916
ZBED2,LAG3,0.7960231075098254
ZBED2,LAIR2,0.7054041665926011
ZBED2,LAMP3,0.7368989320514913
ZBED2,LTB,0.7374180840668143
ZBED2,PDCD1,0.8379121906165898
